"","ensembl_gene_id","hgnc_symbol","description","chromosome_name","band","occurences","median_log2FC","sd_log2FC","mean_log2FC","chr_band","Blood","Cerebellum","Cortex","Endothelia","ESCs","fetalliver","Fibroblasts","Forebrain","Heart","Hippocampus","iPSCs","Liver","Muscle","NPCs","Placenta","Thymus","wholebrain","wholeembryo","entropy","pseudotscore","interactor_level","tad"
"ENSG00000261371","ENSG00000261371","PECAM1","platelet and endothelial cell adhesion molecule 1 ","17","q23.3",9,0.721136142037956,0.817905724530065,0.216414298963908,"17q23.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.793786957860886,"2",NA
"ENSG00000142166","ENSG00000142166","IFNAR1","interferon alpha and beta receptor subunit 1 ","21","q22.11",8,0.678651585197006,0.115218014554239,0.699029292488164,"21q22.11",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,17.1601065989114,"0",2940
"ENSG00000154723","ENSG00000154723","ATP5PF","ATP synthase peripheral stalk subunit F6 ","21","q21.3",8,0.657737137858228,0.723647614333761,0.318778799702077,"21q21.3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1.24596915129956,"0",NA
"ENSG00000159055","ENSG00000159055","MIS18A","MIS18 kinetochore protein A ","21","q22.11",8,0.777500841658154,0.226278791621717,0.834692124171976,"21q22.11",1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,10.4334384495337,"0",2939
"ENSG00000160208","ENSG00000160208","RRP1B","ribosomal RNA processing 1B ","21","q22.3",8,0.803318645878237,0.826060420099174,0.807475661951632,"21q22.3",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2.76479299729938,"0",2954
"ENSG00000160209","ENSG00000160209","PDXK","pyridoxal kinase ","21","q22.3",8,1.08294501637583,0.759095766577789,1.34302983837847,"21q22.3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,5.00419339886265,"0",NA
"ENSG00000160221","ENSG00000160221","GATD3A","glutamine amidotransferase like class 1 domain containing 3A ","21","q22.3",8,0.830092980141243,2.6145488880581,1.32935138142016,"21q22.3",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1.4380964619561,"0",2955
"ENSG00000160226","ENSG00000160226","CFAP410","cilia and flagella associated protein 410 ","21","q22.3",8,0.824939169318399,0.811407890372578,0.864074033996949,"21q22.3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,3.01201216372646,"0",2955
"ENSG00000164292","ENSG00000164292","RHOBTB3","Rho related BTB domain containing 3 ","5","q15",8,0.909943106811467,1.05673586447085,1.01868935816077,"5q15",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.72659300132202,"2",1090
"ENSG00000182240","ENSG00000182240","BACE2","beta-secretase 2 ","21","q22.2",8,0.819597827015655,0.758011341798506,0.805874877525255,"21q22.2",1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,6,3.00702408665257,"0",NA
"ENSG00000263160","ENSG00000263160","TMEM50B","transmembrane protein 50B ","21","",8,0.925639249787648,0.39855920311726,1.0092218401051,"21",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,7.16207380262076,"0",NA
"ENSG00000281289","ENSG00000281289","LSS","lanosterol synthase ","21","",8,0.665735451494592,1.08985654936721,0.214050575156274,"21",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,0.555510221222278,"0",NA
"ENSG00000067836","ENSG00000067836","ROGDI","rogdi homolog ","16","p13.3",7,-0.733739982480515,0.848735926617013,-0.48388493848241,"16p13.3",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.5084069970941,"5+",2525
"ENSG00000111666","ENSG00000111666","CHPT1","choline phosphotransferase 1 ","12","q23.2",7,0.656863197483911,0.780374274228122,0.628879618452586,"12q23.2",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.13212958188361,"2",2218
"ENSG00000125730","ENSG00000125730","C3","complement C3 ","19","p13.3",7,1.97815913269375,3.64521477825087,1.35182125076437,"19p13.3",1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0.981172047220494,"1",2784
"ENSG00000129151","ENSG00000129151","BBOX1","gamma-butyrobetaine hydroxylase 1 ","11","p14.2",7,1.64569550963364,1.52705542760155,1.43435953753133,"11p14.2",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2.48514792480192,"3",1985
"ENSG00000134531","ENSG00000134531","EMP1","epithelial membrane protein 1 ","12","p13.1",7,-0.71856506637071,1.12320459245705,-0.0491336066295409,"12p13.1",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,-0.115736086756083,"5+",2129
"ENSG00000142207","ENSG00000142207","URB1","URB1 ribosome biogenesis 1 homolog (S. cerevisiae) ","21","q22.11",7,0.73642933417968,0.877703634054298,0.89586709825788,"21q22.11",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2.70050328811648,"0",2939
"ENSG00000151693","ENSG00000151693","ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 ","2","p25.1",7,-1.07245106662556,1.1636204351553,-0.973069814156361,"2p25.1",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,-2.21249185626237,"2",362
"ENSG00000154654","ENSG00000154654","NCAM2","neural cell adhesion molecule 2 ","21","q21.1",7,0.689379992318464,1.75668346215326,0.958507989701703,"21q21.1",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,1.4436145299112,"0",2930
"ENSG00000154727","ENSG00000154727","GABPA","GA binding protein transcription factor subunit alpha ","21","q21.3",7,0.655269702501652,0.14772135005407,0.747717177404347,"21q21.3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,13.3919281248037,"0",NA
"ENSG00000156304","ENSG00000156304","SCAF4","SR-related CTD associated factor 4 ","21","q22.11",7,0.794241243411308,0.95107852082678,0.418483652190071,"21q22.11",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1.16415590006015,"0",2938
"ENSG00000159147","ENSG00000159147","DONSON","downstream neighbor of SON ","21","q22.11",7,0.722101392788848,0.740776023903077,0.457861305448257,"21q22.11",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1.6352947585868,"0",2940
"ENSG00000159259","ENSG00000159259","CHAF1B","chromatin assembly factor 1 subunit B ","21","q22.12",7,0.788848850305488,0.128275748353636,0.827448673912952,"21q22.12",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,17.0665417426254,"0",2945
"ENSG00000160179","ENSG00000160179","ABCG1","ATP binding cassette subfamily G member 1 ","21","q22.3",7,1.00471735939636,0.907686913876817,0.93680429686964,"21q22.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.73062347684144,"0",2952
"ENSG00000173452","ENSG00000173452","TMEM196","transmembrane protein 196 ","7","p21.1",7,-0.741256870793398,0.133089597334667,-0.7450465825195,"7p21.1",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,-14.8111348443588,"5+",1373
"ENSG00000185658","ENSG00000185658","BRWD1","bromodomain and WD repeat domain containing 1 ","21","q22.2",7,0.795447092652784,1.31021070332982,0.510717280962385,"21q22.2",1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1.03130810354053,"0",2948
"ENSG00000185808","ENSG00000185808","PIGP","phosphatidylinositol glycan anchor biosynthesis class P ","21","q22.13",7,0.639464401208219,0.309236411571162,0.813251535481615,"21q22.13",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,6.95798177612286,"0",2947
"ENSG00000189171","ENSG00000189171","S100A13","S100 calcium binding protein A13 ","1","q21.3",7,0.680395701723368,1.0362509786349,0.36405878245985,"1q21.3",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.929513236519791,"5+",208
"ENSG00000197956","ENSG00000197956","S100A6","S100 calcium binding protein A6 ","1","q21.3",7,0.957954712308535,1.15515288715183,0.81556486598278,"1q21.3",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,1.86796210045618,"2",208
"ENSG00000198363","ENSG00000198363","ASPH","aspartate beta-hydroxylase ","8","q12.3",7,0.613704128880525,1.20916419697987,0.237038011180645,"8q12.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.518658781346445,"2",1578
"ENSG00000213626","ENSG00000213626","LBH","limb bud and heart development ","2","p23.1",7,-0.820936340169811,1.38148870213903,-0.346105373588229,"2p23.1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-0.662842008421581,"5+",386
"ENSG00000249624","ENSG00000249624","","novel protein","21","q22.11",7,0.630620718480493,0.721926205075015,0.373702401030232,"21q22.11",1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,7,1.36956327464382,"0",NA
"ENSG00000026508","ENSG00000026508","CD44","CD44 molecule (Indian blood group) ","11","p13",6,-1.45168043404303,1.74513678375462,-0.592533481261849,"11p13",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,-0.831685343015832,"1",1996
"ENSG00000047457","ENSG00000047457","CP","ceruloplasmin ","3","q25.1",6,1.01573689318371,2.28312299199331,0.688191350267557,"3q25.1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.738338521167776,"1",753
"ENSG00000055332","ENSG00000055332","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 ","2","p22.2",6,0.708794355167258,0.0262663070565483,0.695602817150154,"2p22.2",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,64.8691101490646,"1",393
"ENSG00000067225","ENSG00000067225","PKM","pyruvate kinase M1/2 ","15","q23",6,-0.034451899071303,1.99687703598363,0.602869104562827,"15q23",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.739515584213282,"1",2484
"ENSG00000067992","ENSG00000067992","PDK3","pyruvate dehydrogenase kinase 3 ","X","p22.11",6,1.27956510310725,0.744051635039588,1.51911005966763,"Xp22.11",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5.00105682734857,"3",3014
"ENSG00000071575","ENSG00000071575","TRIB2","tribbles pseudokinase 2 ","2","p24.3",6,1.9226292818505,1.52205273690053,2.52840426430705,"2p24.3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.06904449555489,"5+",367
"ENSG00000076716","ENSG00000076716","GPC4","glypican 4 ","X","q26.2",6,0.923122517583416,2.42810944466287,-0.154806362112407,"Xq26.2",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,-0.156169482782342,"2",3106
"ENSG00000088256","ENSG00000088256","GNA11","G protein subunit alpha 11 ","19","p13.3",6,-0.73386814300376,0.721244576012268,-0.537115910495835,"19p13.3",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.82415224627328,"1",2779
"ENSG00000089220","ENSG00000089220","PEBP1","phosphatidylethanolamine binding protein 1 ","12","q24.23",6,0.931484667699405,0.297725710227587,1.04093946156411,"12q24.23",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.56415971603676,"2",2238
"ENSG00000092068","ENSG00000092068","SLC7A8","solute carrier family 7 member 8 ","14","q11.2",6,0.0889153395846454,1.52250813554509,0.142484533202685,"14q11.2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.229236477912332,"3",2347
"ENSG00000100368","ENSG00000100368","CSF2RB","colony stimulating factor 2 receptor beta common subunit ","22","q12.3",6,-0.0609594926546035,1.63729898270836,0.139376206722322,"22q12.3",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.20851450612253,"2",2978
"ENSG00000100504","ENSG00000100504","PYGL","glycogen phosphorylase L ","14","q22.1",6,0.63834660606,1.02647465896502,0.0995208516544746,"14q22.1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.237487894310491,"2",NA
"ENSG00000102362","ENSG00000102362","SYTL4","synaptotagmin like 4 ","X","q22.1",6,0.372691230618497,2.71762563023065,-0.367949069622512,"Xq22.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.331645191258541,"2",3073
"ENSG00000108679","ENSG00000108679","LGALS3BP","galectin 3 binding protein ","17","q25.3",6,0.840708510726865,0.872592751871525,0.399253126173828,"17q25.3",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1.12075929491665,"2",NA
"ENSG00000112339","ENSG00000112339","HBS1L","HBS1 like translational GTPase ","6","q23.3",6,0.726781139346619,1.29329830372639,0.466629708312074,"6q23.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.883790445634224,"2",1313
"ENSG00000115461","ENSG00000115461","IGFBP5","insulin like growth factor binding protein 5 ","2","q35",6,-0.853465780683007,1.57002985557316,-0.658875644165038,"2q35",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,-1.0279480523399,"1",565
"ENSG00000117450","ENSG00000117450","PRDX1","peroxiredoxin 1 ","1","p34.1",6,0.799737259887272,0.905328983788685,0.273273284097406,"1p34.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.739377749259721,"1",87
"ENSG00000118785","ENSG00000118785","SPP1","secreted phosphoprotein 1 ","4","q22.1",6,0.164199013065983,2.74242572720229,-0.129381753226252,"4q22.1",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,-0.115561662905751,"1",891
"ENSG00000119711","ENSG00000119711","ALDH6A1","aldehyde dehydrogenase 6 family member A1 ","14","q24.3",6,0.907029083079707,1.23508253824617,0.560746637830389,"14q24.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.1121063533261,"2",2395
"ENSG00000121691","ENSG00000121691","CAT","catalase ","11","p13",6,1.7350292443362,1.60109354061152,2.14264181729139,"11p13",0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3.27799658220407,"1",NA
"ENSG00000124570","ENSG00000124570","SERPINB6","serpin family B member 6 ","6","p25.2",6,0.681409156022258,1.22545346740375,0.228659502157693,"6p25.2",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0.457054567981111,"1",1185
"ENSG00000128311","ENSG00000128311","TST","thiosulfate sulfurtransferase ","22","q12.3",6,1.5436332083579,1.01541696556391,1.91355524620578,"22q12.3",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4.61606818360272,"2",2978
"ENSG00000129116","ENSG00000129116","PALLD","palladin, cytoskeletal associated protein ","4","q32.3",6,1.07455870062239,2.01897538318579,0.0312553876205661,"4q32.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0379201014637848,"2",978
"ENSG00000131051","ENSG00000131051","RBM39","RNA binding motif protein 39 ","20","q11.22",6,0.692415216107367,0.880514753982826,0.495424188642891,"20q11.22",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.37821253183806,"2",2889
"ENSG00000132470","ENSG00000132470","ITGB4","integrin subunit beta 4 ","17","q25.1",6,1.255310706864,0.912380935276845,0.888469129608885,"17q25.1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.38529317701723,"2",2686
"ENSG00000144908","ENSG00000144908","ALDH1L1","aldehyde dehydrogenase 1 family member L1 ","3","q21.3",6,0.740666566338804,0.753158748372655,0.617293759362901,"3q21.3",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2.007617564173,"1",728
"ENSG00000148180","ENSG00000148180","GSN","gelsolin ","9","q33.2",6,0.825820062454746,1.36506437033081,0.282164172631499,"9q33.2",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.506319160959613,"1",1793
"ENSG00000148700","ENSG00000148700","ADD3","adducin 3 ","10","q25.1",6,0.910553543710136,1.12031467472864,0.626615511684562,"10q25.1",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.37005102509431,"4",1930
"ENSG00000149591","ENSG00000149591","TAGLN","transgelin ","11","q23.3",6,0.733265113214705,1.12027765251746,0.178860817038619,"11q23.3",1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0.391079600434223,"3",NA
"ENSG00000151176","ENSG00000151176","PLBD2","phospholipase B domain containing 2 ","12","q24.13",6,-0.0463276307794072,1.25987438794407,0.239393198554242,"12q24.13",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.46543622916851,"5+",2233
"ENSG00000155304","ENSG00000155304","HSPA13","heat shock protein family A (Hsp70) member 13 ","21","q11.2",6,0.865997928821518,0.253888237666038,0.900502567301023,"21q11.2",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,8.68796373645014,"0",2926
